fonKodu,firma,durum,fonKategori,sonFiyat,payAdet,portBuyukluk,yatirimciSayi,fonUnvan
AAL,ATA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Para Piyasası Fonu,3.577202,539030538,1928221084.69,4489,ATA PORTFÖY PARA PİYASASI (TL) FONU
AAS,ATA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,12.869565,1362485,17534589.6,152,ATA PORTFÖY FON SEPETİ SERBEST FONU
AAV,ATA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,63.567658,2197397,139683379.97,1948,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
AC1,PARDUS PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,3.309439,102222808,338300098.75,198,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU
AC4,PARDUS PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Para Piyasası Fonu,4.112637,500252510,2057356850.76,4223,PARDUS PORTFÖY PARA PİYASASI (TL) FON
AC5,PARDUS PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,3.795655,6114528,23208638.59,145,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)
AC6,PARDUS PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,58.23776,1320108,76880133.05,82,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON
ACC,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,44.634557,2633517,117545863.98,1279,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)
ACD,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,6.249543,57550434,359663917.02,1496,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON
ACU,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,57.934382,25459788,1474997091.26,163,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON
